id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
38708,Male,disloyal Customer,27,Business travel,Eco,2583,3,3,3,3,5,3,5,5,2,4,3,2,3,5,43,48,neutral or dissatisfied
80210,Female,Loyal Customer,60,Personal Travel,Eco Plus,2475,1,1,1,3,1,5,4,4,1,4,3,4,4,4,0,0,neutral or dissatisfied
100450,Male,Loyal Customer,37,Business travel,Eco Plus,1180,1,2,2,2,1,1,1,1,4,5,2,4,2,1,11,4,neutral or dissatisfied
1262,Female,Loyal Customer,49,Personal Travel,Eco,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,neutral or dissatisfied
20024,Male,disloyal Customer,23,Business travel,Eco,528,1,5,1,2,2,1,2,2,2,5,2,4,1,2,9,6,neutral or dissatisfied
68271,Female,Loyal Customer,37,Personal Travel,Eco,631,2,4,2,5,2,2,2,2,5,4,4,4,4,2,0,0,neutral or dissatisfied
101973,Male,Loyal Customer,47,Personal Travel,Eco,628,3,4,3,3,1,3,1,1,4,5,5,4,4,1,0,0,neutral or dissatisfied
111744,Male,Loyal Customer,17,Business travel,Business,2768,1,1,1,1,3,3,3,3,4,4,5,5,5,3,7,4,satisfied
69843,Male,Loyal Customer,31,Personal Travel,Eco,1055,3,5,4,1,5,4,5,5,4,5,4,5,4,5,0,0,neutral or dissatisfied
126021,Male,Loyal Customer,39,Business travel,Business,650,2,2,2,2,4,5,5,4,4,4,4,5,4,3,0,0,satisfied
90659,Male,Loyal Customer,41,Business travel,Business,646,5,5,5,5,4,4,4,5,5,5,5,4,5,4,0,0,satisfied
106421,Male,Loyal Customer,39,Personal Travel,Eco,674,2,4,3,1,3,3,3,3,4,2,4,5,5,3,45,26,neutral or dissatisfied
61459,Male,Loyal Customer,28,Business travel,Business,2419,5,5,3,5,4,4,4,4,3,3,4,4,4,4,8,0,satisfied
